ოლქი - სუბიექტი,1,4,5,9,10,17,19,23,24,26,30,35,36,38,40,41
21. გარდაბანი,"162
(0.44%)","61
(0.17%)","20453
(55.5%)","84
(0.23%)","377
(1.02%)","13
(0.04%)","19
(0.05%)","11
(0.03%)","67
(0.18%)","11
(0.03%)","6
(0.02%)","20
(0.05%)","8
(0.02%)","319
(0.87%)","22
(0.06%)","15216
(41.29%)"
22. მარნეული,"76
(0.18%)","96
(0.23%)","32773
(78.91%)","223
(0.54%)","656
(1.58%)","16
(0.04%)","21
(0.05%)","7
(0.02%)","252
(0.61%)","10
(0.02%)","18
(0.04%)","46
(0.11%)","8
(0.02%)","84
(0.2%)","10
(0.02%)","7234
(17.42%)"
23. ბოლნისი,"34
(0.13%)","72
(0.27%)","17809
(66.99%)","252
(0.95%)","379
(1.43%)","8
(0.03%)","8
(0.03%)","7
(0.03%)","29
(0.11%)","3
(0.01%)","2
(0.01%)","4
(0.02%)","1
(0%)","123
(0.46%)","13
(0.05%)","7841
(29.49%)"
24. დმანისი,"36
(0.31%)","47
(0.4%)","8179
(69.83%)","43
(0.37%)","235
(2.01%)","11
(0.09%)","3
(0.03%)","4
(0.03%)","49
(0.42%)","1
(0.01%)","3
(0.03%)","1
(0.01%)","2
(0.02%)","73
(0.62%)","6
(0.05%)","3019
(25.78%)"
25. წალკა,"71
(0.87%)","14
(0.17%)","5529
(67.82%)","46
(0.56%)","123
(1.51%)","2
(0.02%)","0
(0%)","2
(0.02%)","7
(0.09%)","2
(0.02%)","0
(0%)","2
(0.02%)","1
(0.01%)","41
(0.5%)","7
(0.09%)","2305
(28.28%)"
26. თეთრიწყარო,"75
(0.65%)","8
(0.07%)","5187
(44.74%)","28
(0.24%)","228
(1.97%)","5
(0.04%)","2
(0.02%)","3
(0.03%)","18
(0.16%)","2
(0.02%)","1
(0.01%)","5
(0.04%)","0
(0%)","114
(0.98%)","6
(0.05%)","5911
(50.99%)"
27. მცხეთა,"55
(0.19%)","16
(0.05%)","9691
(33.17%)","85
(0.29%)","415
(1.42%)","2
(0.01%)","3
(0.01%)","29
(0.1%)","75
(0.26%)","3
(0.01%)","2
(0.01%)","6
(0.02%)","3
(0.01%)","510
(1.75%)","20
(0.07%)","18303
(62.64%)"
28. დუშეთი,"25
(0.15%)","11
(0.07%)","4898
(30.31%)","23
(0.14%)","149
(0.92%)","0
(0%)","1
(0.01%)","9
(0.06%)","49
(0.3%)","3
(0.02%)","2
(0.01%)","6
(0.04%)","7
(0.04%)","637
(3.94%)","14
(0.09%)","10325
(63.9%)"
29. ყაზბეგი,"0
(0%)","3
(0.09%)","931
(27.04%)","1
(0.03%)","50
(1.45%)","1
(0.03%)","1
(0.03%)","1
(0.03%)","16
(0.46%)","0
(0%)","0
(0%)","0
(0%)","0
(0%)","16
(0.46%)","1
(0.03%)","2422
(70.35%)"
30. კასპი,"36
(0.15%)","21
(0.09%)","9454
(39.49%)","59
(0.25%)","352
(1.47%)","6
(0.03%)","9
(0.04%)","14
(0.06%)","62
(0.26%)","6
(0.03%)","6
(0.03%)","8
(0.03%)","2
(0.01%)","298
(1.24%)","15
(0.06%)","13592
(56.78%)"
32. გორი,"127
(0.18%)","59
(0.09%)","32393
(46.69%)","130
(0.19%)","1805
(2.6%)","11
(0.02%)","51
(0.07%)","30
(0.04%)","319
(0.46%)","7
(0.01%)","9
(0.01%)","12
(0.02%)","15
(0.02%)","1165
(1.68%)","49
(0.07%)","33199
(47.85%)"
33. ქარელი,"40
(0.18%)","28
(0.13%)","9035
(40.4%)","61
(0.27%)","614
(2.75%)","9
(0.04%)","8
(0.04%)","4
(0.02%)","36
(0.16%)","1
(0%)","4
(0.02%)","6
(0.03%)","18
(0.08%)","410
(1.83%)","13
(0.06%)","12078
(54%)"
35. ხაშური,"106
(0.42%)","56
(0.22%)","9034
(36.17%)","62
(0.25%)","528
(2.11%)","10
(0.04%)","21
(0.08%)","14
(0.06%)","78
(0.31%)","16
(0.06%)","6
(0.02%)","5
(0.02%)","0
(0%)","486
(1.95%)","8
(0.03%)","14545
(58.24%)"
36. ბორჯომი,"55
(0.31%)","24
(0.14%)","5744
(32.76%)","19
(0.11%)","337
(1.92%)","4
(0.02%)","2
(0.01%)","4
(0.02%)","33
(0.19%)","1
(0.01%)","2
(0.01%)","2
(0.01%)","7
(0.04%)","184
(1.05%)","12
(0.07%)","11106
(63.33%)"
37. ახალციხე,"34
(0.15%)","15
(0.07%)","16868
(75.04%)","38
(0.17%)","435
(1.94%)","7
(0.03%)","2
(0.01%)","5
(0.02%)","92
(0.41%)","2
(0.01%)","2
(0.01%)","3
(0.01%)","5
(0.02%)","169
(0.75%)","4
(0.02%)","4797
(21.34%)"
38. ადიგენი,"21
(0.2%)","11
(0.1%)","7478
(69.87%)","16
(0.15%)","187
(1.75%)","6
(0.06%)","0
(0%)","0
(0%)","54
(0.5%)","5
(0.05%)","2
(0.02%)","3
(0.03%)","0
(0%)","63
(0.59%)","4
(0.04%)","2853
(26.66%)"
39. ასპინძა,"24
(0.34%)","17
(0.24%)","5079
(71.43%)","16
(0.23%)","136
(1.91%)","0
(0%)","1
(0.01%)","1
(0.01%)","98
(1.38%)","2
(0.03%)","2
(0.03%)","1
(0.01%)","0
(0%)","73
(1.03%)","4
(0.06%)","1656
(23.29%)"
40. ახალქალაქი,"36
(0.17%)","55
(0.26%)","16479
(76.54%)","51
(0.24%)","147
(0.68%)","15
(0.07%)","6
(0.03%)","2
(0.01%)","87
(0.4%)","6
(0.03%)","6
(0.03%)","19
(0.09%)","8
(0.04%)","17
(0.08%)","13
(0.06%)","4584
(21.29%)"
41. ნინოწმინდა,"30
(0.23%)","18
(0.14%)","10319
(79.59%)","38
(0.29%)","193
(1.49%)","3
(0.02%)","4
(0.03%)","3
(0.02%)","96
(0.74%)","7
(0.05%)","3
(0.02%)","9
(0.07%)","5
(0.04%)","7
(0.05%)","9
(0.07%)","2221
(17.13%)"
43. ონი,"16
(0.35%)","9
(0.2%)","1920
(42.29%)","6
(0.13%)","107
(2.36%)","3
(0.07%)","1
(0.02%)","2
(0.04%)","27
(0.59%)","1
(0.02%)","1
(0.02%)","1
(0.02%)","2
(0.04%)","29
(0.64%)","2
(0.04%)","2413
(53.15%)"
44. ამბროლაური,"18
(0.21%)","11
(0.13%)","3901
(44.67%)","14
(0.16%)","193
(2.21%)","2
(0.02%)","2
(0.02%)","2
(0.02%)","62
(0.71%)","0
(0%)","3
(0.03%)","1
(0.01%)","1
(0.01%)","108
(1.24%)","7
(0.08%)","4408
(50.48%)"
45. ცაგერი,"10
(0.12%)","9
(0.11%)","4384
(54.07%)","21
(0.26%)","244
(3.01%)","4
(0.05%)","1
(0.01%)","3
(0.04%)","51
(0.63%)","2
(0.02%)","4
(0.05%)","1
(0.01%)","1
(0.01%)","83
(1.02%)","3
(0.04%)","3287
(40.54%)"
46. ლენტეხი,"9
(0.23%)","6
(0.15%)","2128
(53.55%)","8
(0.2%)","67
(1.69%)","1
(0.03%)","2
(0.05%)","1
(0.03%)","38
(0.96%)","8
(0.2%)","1
(0.03%)","1
(0.03%)","0
(0%)","31
(0.78%)","0
(0%)","1673
(42.1%)"
47. მესტია,"24
(0.42%)","8
(0.14%)","2506
(43.87%)","11
(0.19%)","213
(3.73%)","2
(0.04%)","2
(0.04%)","1
(0.02%)","0
(0%)","3
(0.05%)","1
(0.02%)","2
(0.04%)","2
(0.04%)","24
(0.42%)","1
(0.02%)","2912
(50.98%)"
48. ხარაგაული,"46
(0.31%)","18
(0.12%)","6640
(44.89%)","28
(0.19%)","345
(2.33%)","5
(0.03%)","0
(0%)","3
(0.02%)","9
(0.06%)","4
(0.03%)","2
(0.01%)","3
(0.02%)","0
(0%)","99
(0.67%)","16
(0.11%)","7574
(51.2%)"
49. თერჯოლა,"43
(0.18%)","29
(0.12%)","11347
(47.63%)","46
(0.19%)","601
(2.52%)","8
(0.03%)","13
(0.05%)","6
(0.03%)","154
(0.65%)","2
(0.01%)","5
(0.02%)","5
(0.02%)","6
(0.03%)","235
(0.99%)","14
(0.06%)","11309
(47.47%)"
50. საჩხერე,"21
(0.06%)","12
(0.04%)","1903
(5.65%)","19
(0.06%)","151
(0.45%)","2
(0.01%)","2
(0.01%)","3
(0.01%)","21
(0.06%)","1
(0%)","3
(0.01%)","3
(0.01%)","0
(0%)","61
(0.18%)","16
(0.05%)","31484
(93.42%)"
51. ზესტაფონი,"53
(0.14%)","35
(0.09%)","13153
(35.3%)","52
(0.14%)","653
(1.75%)","6
(0.02%)","9
(0.02%)","7
(0.02%)","101
(0.27%)","15
(0.04%)","8
(0.02%)","18
(0.05%)","6
(0.02%)","452
(1.21%)","35
(0.09%)","22654
(60.8%)"
52. ბაღდათი,"32
(0.22%)","24
(0.17%)","6669
(46.22%)","28
(0.19%)","307
(2.13%)","1
(0.01%)","7
(0.05%)","3
(0.02%)","63
(0.44%)","3
(0.02%)","2
(0.01%)","2
(0.01%)","0
(0%)","208
(1.44%)","10
(0.07%)","7071
(49%)"
53. ვანი,"35
(0.21%)","23
(0.14%)","9828
(58.76%)","33
(0.2%)","260
(1.55%)","7
(0.04%)","4
(0.02%)","6
(0.04%)","161
(0.96%)","4
(0.02%)","2
(0.01%)","3
(0.02%)","3
(0.02%)","162
(0.97%)","6
(0.04%)","6189
(37%)"
54. სამტრედია,"62
(0.2%)","31
(0.1%)","12875
(41.42%)","54
(0.17%)","524
(1.69%)","4
(0.01%)","10
(0.03%)","8
(0.03%)","92
(0.3%)","7
(0.02%)","6
(0.02%)","6
(0.02%)","9
(0.03%)","309
(0.99%)","11
(0.04%)","17076
(54.94%)"
55. ხონი,"18
(0.11%)","30
(0.19%)","7683
(48.56%)","49
(0.31%)","264
(1.67%)","11
(0.07%)","12
(0.08%)","10
(0.06%)","68
(0.43%)","4
(0.03%)","4
(0.03%)","7
(0.04%)","2
(0.01%)","155
(0.98%)","14
(0.09%)","7490
(47.34%)"
56. ჭიათურა,"45
(0.16%)","23
(0.08%)","6510
(22.45%)","42
(0.14%)","363
(1.25%)","7
(0.02%)","3
(0.01%)","10
(0.03%)","30
(0.1%)","3
(0.01%)","4
(0.01%)","4
(0.01%)","5
(0.02%)","163
(0.56%)","21
(0.07%)","21762
(75.05%)"
57. ტყიბული,"30
(0.21%)","20
(0.14%)","6893
(47.6%)","57
(0.39%)","326
(2.25%)","10
(0.07%)","3
(0.02%)","2
(0.01%)","175
(1.21%)","5
(0.03%)","3
(0.02%)","2
(0.01%)","2
(0.01%)","170
(1.17%)","13
(0.09%)","6770
(46.75%)"
58. წყალტუბო,"50
(0.17%)","46
(0.15%)","15716
(52.07%)","90
(0.3%)","1022
(3.39%)","12
(0.04%)","15
(0.05%)","8
(0.03%)","203
(0.67%)","9
(0.03%)","6
(0.02%)","3
(0.01%)","11
(0.04%)","554
(1.84%)","24
(0.08%)","12416
(41.13%)"
59. ქუთაისი,"174
(0.2%)","113
(0.13%)","31909
(36.09%)","96
(0.11%)","3007
(3.4%)","20
(0.02%)","46
(0.05%)","74
(0.08%)","538
(0.61%)","17
(0.02%)","67
(0.08%)","15
(0.02%)","21
(0.02%)","1541
(1.74%)","59
(0.07%)","50729
(57.37%)"
60. ოზურგეთი,"77
(0.18%)","48
(0.11%)","15406
(36.48%)","53
(0.13%)","916
(2.17%)","11
(0.03%)","8
(0.02%)","8
(0.02%)","104
(0.25%)","7
(0.02%)","19
(0.04%)","10
(0.02%)","7
(0.02%)","411
(0.97%)","24
(0.06%)","25123
(59.49%)"
61. ლანჩხუთი,"63
(0.29%)","72
(0.33%)","7548
(34.89%)","31
(0.14%)","334
(1.54%)","7
(0.03%)","5
(0.02%)","10
(0.05%)","39
(0.18%)","3
(0.01%)","4
(0.02%)","5
(0.02%)","1
(0%)","195
(0.9%)","22
(0.1%)","13294
(61.45%)"
62. ჩოხატაური,"20
(0.15%)","14
(0.11%)","5852
(44.18%)","34
(0.26%)","171
(1.29%)","3
(0.02%)","2
(0.02%)","2
(0.02%)","77
(0.58%)","14
(0.11%)","11
(0.08%)","5
(0.04%)","0
(0%)","87
(0.66%)","10
(0.08%)","6943
(52.42%)"
63. აბაშა,"23
(0.16%)","16
(0.11%)","8079
(56.66%)","25
(0.18%)","384
(2.69%)","3
(0.02%)","10
(0.07%)","7
(0.05%)","86
(0.6%)","2
(0.01%)","4
(0.03%)","10
(0.07%)","2
(0.01%)","214
(1.5%)","5
(0.04%)","5389
(37.79%)"
64. სენაკი,"52
(0.21%)","35
(0.14%)","13838
(55.88%)","84
(0.34%)","893
(3.61%)","4
(0.02%)","13
(0.05%)","28
(0.11%)","74
(0.3%)","2
(0.01%)","8
(0.03%)","12
(0.05%)","7
(0.03%)","459
(1.85%)","17
(0.07%)","9239
(37.31%)"
65. მარტვილი,"50
(0.25%)","39
(0.2%)","10642
(53.5%)","67
(0.34%)","578
(2.91%)","8
(0.04%)","28
(0.14%)","17
(0.09%)","179
(0.9%)","8
(0.04%)","20
(0.1%)","3
(0.02%)","5
(0.03%)","207
(1.04%)","16
(0.08%)","8024
(40.34%)"
66. ხობი,"64
(0.36%)","33
(0.18%)","10165
(56.46%)","63
(0.35%)","593
(3.29%)","10
(0.06%)","14
(0.08%)","8
(0.04%)","79
(0.44%)","3
(0.02%)","5
(0.03%)","4
(0.02%)","8
(0.04%)","244
(1.36%)","6
(0.03%)","6704
(37.24%)"
67. ზუგდიდი,"147
(0.25%)","349
(0.6%)","36054
(61.6%)","177
(0.3%)","1560
(2.67%)","20
(0.03%)","91
(0.16%)","59
(0.1%)","219
(0.37%)","11
(0.02%)","20
(0.03%)","43
(0.07%)","10
(0.02%)","631
(1.08%)","108
(0.18%)","19031
(32.51%)"
68. წალენჯიხა,"59
(0.36%)","21
(0.13%)","10169
(62.61%)","52
(0.32%)","437
(2.69%)","8
(0.05%)","24
(0.15%)","8
(0.05%)","107
(0.66%)","3
(0.02%)","5
(0.03%)","14
(0.09%)","2
(0.01%)","166
(1.02%)","6
(0.04%)","5162
(31.78%)"
69. ჩხოროწყუ,"58
(0.41%)","32
(0.22%)","8289
(57.92%)","52
(0.36%)","430
(3%)","10
(0.07%)","15
(0.1%)","78
(0.55%)","98
(0.68%)","5
(0.03%)","2
(0.01%)","3
(0.02%)","1
(0.01%)","123
(0.86%)","11
(0.08%)","5103
(35.66%)"
70. ფოთი,"68
(0.28%)","17
(0.07%)","8575
(35.79%)","67
(0.28%)","717
(2.99%)","8
(0.03%)","18
(0.08%)","28
(0.12%)","85
(0.35%)","6
(0.03%)","7
(0.03%)","5
(0.02%)","6
(0.03%)","298
(1.24%)","15
(0.06%)","14042
(58.6%)"
79. ბათუმი,"312
(0.4%)","55
(0.07%)","23408
(29.92%)","122
(0.16%)","1545
(1.97%)","19
(0.02%)","23
(0.03%)","195
(0.25%)","304
(0.39%)","10
(0.01%)","101
(0.13%)","38
(0.05%)","6
(0.01%)","906
(1.16%)","51
(0.07%)","51150
(65.37%)"
80. ქედა,"20
(0.18%)","10
(0.09%)","5271
(48.14%)","48
(0.44%)","443
(4.05%)","0
(0%)","2
(0.02%)","1
(0.01%)","114
(1.04%)","2
(0.02%)","4
(0.04%)","2
(0.02%)","1
(0.01%)","104
(0.95%)","4
(0.04%)","4924
(44.97%)"
81. ქობულეთი,"70
(0.18%)","48
(0.12%)","15090
(38.83%)","72
(0.19%)","914
(2.35%)","6
(0.02%)","9
(0.02%)","11
(0.03%)","81
(0.21%)","3
(0.01%)","5
(0.01%)","18
(0.05%)","2
(0.01%)","477
(1.23%)","11
(0.03%)","22044
(56.73%)"
82. შუახევი,"21
(0.22%)","27
(0.28%)","5845
(61.46%)","40
(0.42%)","608
(6.39%)","8
(0.08%)","1
(0.01%)","2
(0.02%)","62
(0.65%)","1
(0.01%)","0
(0%)","27
(0.28%)","1
(0.01%)","150
(1.58%)","5
(0.05%)","2713
(28.52%)"
83. ხელვაჩაური,"69
(0.25%)","22
(0.08%)","8439
(30.97%)","61
(0.22%)","740
(2.72%)","4
(0.01%)","5
(0.02%)","13
(0.05%)","135
(0.5%)","12
(0.04%)","5
(0.02%)","10
(0.04%)","3
(0.01%)","322
(1.18%)","19
(0.07%)","17394
(63.82%)"
84. ხულო,"55
(0.39%)","36
(0.25%)","8302
(58.24%)","29
(0.2%)","574
(4.03%)","3
(0.02%)","5
(0.04%)","5
(0.04%)","157
(1.1%)","4
(0.03%)","1
(0.01%)","1
(0.01%)","8
(0.06%)","143
(1%)","6
(0.04%)","4927
(34.56%)"
87. საზღვარგარეთი,"39
(0.5%)","23
(0.29%)","3276
(41.92%)","12
(0.15%)","128
(1.64%)","2
(0.03%)","4
(0.05%)","9
(0.12%)","30
(0.38%)","5
(0.06%)","8
(0.1%)","7
(0.09%)","5
(0.06%)","81
(1.04%)","10
(0.13%)","4175
(53.43%)"
